__v,_id,city_type,country_code,end_date,id,is_cost_effective,is_safe,is_soloable,is_time_efficient,is_walk,keyword,like,start_date,type_id_a,type_id_b,type_id_c,version
0,63e3225832f27972ae878789,old,KAZ,2023-02-08T04:18:33.176Z,ca993626-14d6-44c1-98ee-e4e318749e46,false,false,null,true,null,독창적 건축양식,false,2023-02-08T04:17:28.063Z,C,H,U,1.1.0_20230206
0,63e3238332f27972ae878794,new,CZE,2023-02-08T04:23:35.959Z,b0a61db7-d1c4-4d68-81c9-321a771b9671,false,false,null,false,null,낭만적 분위기,false,2023-02-08T04:22:27.319Z,C,F,D,1.1.0_20230206
0,63e3239832f27972ae878796,null,MEX,2023-02-08T04:23:48.329Z,de751218-e902-468f-9b7f-021535bdc6d2,true,null,false,false,false,올인클루시브 호캉스,false,2023-02-08T04:22:48.493Z,R,F,U,1.1.0_20230206
0,63e323fd32f27972ae8787a2,old,BRA,2023-02-08T04:24:57.991Z,3c6d4a75-4175-47eb-a156-d15afe8dd2cb,false,false,null,false,null,웅장한 카니발,false,2023-02-08T04:24:29.683Z,C,F,U,1.1.0_20230206
0,63e3244932f27972ae8787a7,null,GRC,2023-02-08T04:27:09.146Z,26120dbc-5dd1-4485-9774-a06bdf48b490,false,null,false,false,false,색다른 건축물,false,2023-02-08T04:25:45.931Z,R,F,D,1.1.0_20230206
0,63e324c832f27972ae8787ac,null,MYS,2023-02-08T04:28:17.401Z,de396a73-fccf-4ead-882d-f80f5f4629f4,false,null,true,false,false,수상레저,false,2023-02-08T04:27:52.311Z,R,F,D,1.1.0_20230206
0,63e3251032f27972ae8787b1,null,HRV,2023-02-08T04:30:25.034Z,fa4ad431-98f7-4246-b489-d0573e188beb,false,null,false,true,true,아름다운 자연경관,false,2023-02-08T04:29:04.588Z,R,F,U,1.1.0_20230206
0,63e3261732f27972ae8787b6,null,null,null,262571c2-f196-46a3-b310-c36242a47e98,null,null,null,null,null,null,false,2023-02-08T04:33:27.909Z,null,null,null,1.1.0_20230206
0,63e3262632f27972ae8787b8,null,HRV,2023-02-08T04:34:31.881Z,2a045bca-034b-470d-8152-5e12fb2e432c,false,null,false,false,true,아름다운 자연경관,false,2023-02-08T04:33:42.930Z,R,F,U,1.1.0_20230206
0,63e3262f32f27972ae8787ba,null,PRT,2023-02-08T04:34:13.027Z,a1e0004b-5226-4342-aaeb-51eabdb594f9,false,null,false,true,false,서핑,false,2023-02-08T04:33:51.348Z,R,F,D,1.1.0_20230206
0,63e3265232f27972ae8787bf,null,MYS,2023-02-08T04:34:50.309Z,ffc41683-5ffa-4209-a4ec-f9fe0f13f402,true,null,false,true,false,수상레저,false,2023-02-08T04:34:26.430Z,R,F,D,1.1.0_20230206
0,63e3273932f27972ae8787c7,old,CHN,2023-02-08T04:39:04.357Z,d07f1b4e-3c9f-49c6-80c2-91d1ea98ecff,true,false,null,true,null,역사 탐방,false,2023-02-08T04:38:17.492Z,C,F,U,1.1.0_20230206
0,63e3274e32f27972ae8787c9,null,IND,2023-02-08T04:39:28.104Z,662d0071-2c2e-45ed-803c-5a2f9a249519,true,null,false,false,false,값진 경험과 보람을 안겨줄 도전,false,2023-02-08T04:38:38.464Z,A,F,U,1.1.0_20230206
0,63e3281832f27972ae8787d1,null,SGP,2023-02-08T04:42:43.343Z,fd8b850e-d04a-45e4-8cd8-51ddfc6b3214,false,null,false,false,false,다양한 액티비티,false,2023-02-08T04:42:00.390Z,R,F,D,1.1.0_20230206
0,63e3293132f27972ae8787d6,old,JPN,2023-02-08T04:48:18.811Z,ab55c3d7-bfe6-4186-967a-05c46cc4b982,false,true,null,false,null,맛있는 현지 음식,false,2023-02-08T04:46:41.076Z,C,F,D,1.1.0_20230206
0,63e329a932f27972ae8787db,null,SGP,2023-02-08T04:49:39.001Z,e3ecc316-b754-41fe-a373-167155e0504f,false,null,false,false,true,다양한 액티비티,false,2023-02-08T04:48:41.446Z,R,F,D,1.1.0_20230206
0,63e329f632f27972ae8787e0,null,GRC,2023-02-08T04:50:13.741Z,405864fe-0e2c-4b41-9450-a5b33aafd14a,false,null,false,false,true,색다른 건축물,false,2023-02-08T04:49:58.721Z,R,F,D,1.1.0_20230206
